territory_id,regime_id,start,end
egypt,achaemenid_empire,-550,-330
egypt,macedonian_empire,-336,-323
egypt,ptolemaic_egypt,-305,-30
egypt,roman_empire_pagan,-27,380
egypt,roman_empire_christian,380,395
egypt,rashidun_caliphate,632,661
egypt,umayyad_caliphate,661,750
egypt,abbasid_caliphate,750,1258
egypt,fatimid_caliphate,909,1171
egypt,ayyubid_sultanate,1171,1260
egypt,mamluk_sultanate,1250,1517
egypt,ottoman_empire,1299,1922
egypt,kingdom_of_egypt,1805,1952
egypt,republic_of_egypt,1952,
ganges_plain,maurya_empire,-322,-185
ganges_plain,gupta_empire,320,550
ganges_plain,harsha_empire,606,647
ganges_plain,pala_empire,750,1200
ganges_plain,delhi_sultanate,1206,1526
ganges_plain,mughal_empire,1526,1857
ganges_plain,british_raj,1858,1947
ganges_plain,republic_of_india,1947,
gaul,roman_republic,-509,-27
gaul,roman_empire_pagan,-27,380
gaul,roman_empire_christian,380,395
gaul,western_roman_empire,395,476
gaul,carolingian_empire,486,843
gaul,kingdom_of_france,987,1792
gaul,angevin_empire,1154,1204
germany,carolingian_empire,486,843
germany,holy_roman_empire,962,1806
germany,habsburg_monarchy,1438,1918
germany,german_empire,1871,1918
germany,weimar_republic,1918,1933
hungary,hunnic_empire,350,453
hungary,avar_khaganate,568,804
hungary,kingdom_of_hungary,1000,1526
hungary,habsburg_monarchy,1438,1918
iberia,roman_republic,-509,-27
iberia,roman_empire_pagan,-27,380
iberia,roman_empire_christian,380,395
iberia,western_roman_empire,395,476
iberia,visigothic_kingdom,418,711
iberia,umayyad_caliphate,661,750
iberia,al_andalus,711,1492
indus_valley,maurya_empire,-322,-185
indus_valley,gupta_empire,320,550
indus_valley,ghaznavid_empire,977,1186
indus_valley,delhi_sultanate,1206,1526
indus_valley,mughal_empire,1526,1857
indus_valley,british_raj,1858,1947
indus_valley,pakistan,1947,
iran_plateau,median_kingdom,-678,-550
iran_plateau,achaemenid_empire,-550,-330
iran_plateau,macedonian_empire,-336,-323
iran_plateau,seleucid_empire,-312,-63
iran_plateau,parthian_empire,-247,224
iran_plateau,sassanid_empire,224,651
iran_plateau,rashidun_caliphate,632,661
iran_plateau,umayyad_caliphate,661,750
iran_plateau,abbasid_caliphate,750,1258
iran_plateau,seljuk_empire,1037,1194
iran_plateau,mongol_empire,1206,1368
iran_plateau,ilkhanate,1256,1335
iran_plateau,timurid_empire,1370,1507
iran_plateau,safavid_empire,1501,1736
ireland,united_kingdom,1801,
italy,roman_kingdom,-753,-509
italy,roman_republic,-509,-27
italy,roman_empire_pagan,-27,380
italy,roman_empire_christian,380,395
italy,western_roman_empire,395,476
italy,odoacer_kingdom,476,493
italy,carolingian_empire,486,843
italy,ostrogothic_kingdom,493,553
italy,lombard_kingdom,568,774
italy,holy_roman_empire,962,1806
italy,kingdom_of_italy,1861,1946
japanese_archipelago,yamato_period,250,710
japanese_archipelago,feudal_japan,1185,1603
japanese_archipelago,tokugawa_shogunate,1603,1868
japanese_archipelago,empire_of_japan,1868,1947
japanese_archipelago,modern_japan,1947,
khorasan,achaemenid_empire,-550,-330
khorasan,macedonian_empire,-336,-323
khorasan,parthian_empire,-247,224
khorasan,sassanid_empire,224,651
khorasan,samanid_empire,819,999
khorasan,ghaznavid_empire,977,1186
khorasan,seljuk_empire,1037,1194
khorasan,mongol_empire,1206,1368
khorasan,ilkhanate,1256,1335
khorasan,timurid_empire,1370,1507
khorasan,safavid_empire,1501,1736
kievan_rus,kievan_rus_regime,882,1240
kievan_rus,grand_duchy_of_lithuania,1236,1569
kievan_rus,polish_lithuanian_commonwealth,1569,1795
kievan_rus,russian_empire,1721,1917
korean_peninsula,three_kingdoms_korea,-57,668
korean_peninsula,goguryeo,37,668
korean_peninsula,unified_silla,668,935
korean_peninsula,goryeo,918,1392
korean_peninsula,joseon,1392,1897
korean_peninsula,empire_of_japan,1868,1947
korean_peninsula,japanese_korea,1910,1945
korean_peninsula,modern_korea,1945,
levant,akkadian_empire,-2334,-2154
levant,new_kingdom_egypt,-1550,-1070
levant,phoenician_states,-1200,-332
levant,kingdom_of_israel,-1047,-930
levant,kingdom_of_judah,-930,-586
levant,neo_assyrian_empire,-911,-609
levant,neo_babylonian,-626,-539
levant,achaemenid_empire,-550,-330
levant,macedonian_empire,-336,-323
levant,seleucid_empire,-312,-63
levant,ptolemaic_egypt,-305,-30
levant,roman_empire_pagan,-27,380
levant,roman_empire_christian,380,395
levant,byzantine_empire,395,1453
levant,rashidun_caliphate,632,661
levant,umayyad_caliphate,661,750
levant,abbasid_caliphate,750,1258
levant,fatimid_caliphate,909,1171
levant,ayyubid_sultanate,1171,1260
levant,mamluk_sultanate,1250,1517
levant,ottoman_empire,1299,1922
lithuania,grand_duchy_of_lithuania,1236,1569
lithuania,polish_lithuanian_commonwealth,1569,1795
manchuria,three_kingdoms_korea,-57,668
manchuria,goguryeo,37,668
manchuria,liao_dynasty,907,1125
manchuria,jin_dynasty_jurchen,1115,1234
manchuria,mongol_empire,1206,1368
manchuria,yuan_dynasty,1271,1368
manchuria,qing_dynasty,1644,1912
manchuria,empire_of_japan,1868,1947
manchuria,republic_of_china,1912,
manchuria,manchukuo,1932,1945
manchuria,peoples_republic_of_china,1949,
mesopotamia,sumerian_city_states,-3500,-2334
mesopotamia,akkadian_empire,-2334,-2154
mesopotamia,ur_iii,-2112,-2004
mesopotamia,old_babylonian,-1894,-1595
mesopotamia,neo_assyrian_empire,-911,-609
mesopotamia,neo_babylonian,-626,-539
mesopotamia,achaemenid_empire,-550,-330
mesopotamia,macedonian_empire,-336,-323
mesopotamia,seleucid_empire,-312,-63
mesopotamia,parthian_empire,-247,224
mesopotamia,sassanid_empire,224,651
mesopotamia,rashidun_caliphate,632,661
mesopotamia,umayyad_caliphate,661,750
mesopotamia,abbasid_caliphate,750,1258
mesopotamia,seljuk_empire,1037,1194
mesopotamia,mongol_empire,1206,1368
mesopotamia,ilkhanate,1256,1335
mesopotamia,ottoman_empire,1299,1922
mesopotamia,safavid_empire,1501,1736
mesopotamia,kingdom_of_iraq,1921,1958
mesopotamia,republic_of_iraq,1958,
mongolian_plateau,xiongnu,-209,93
mongolian_plateau,goktürk_khaganate,552,744
mongolian_plateau,uyghur_khaganate,744,840
mongolian_plateau,mongol_empire,1206,1368
mongolian_plateau,north_yuan,1368,1635
mongolian_plateau,qing_dynasty,1644,1912
mongolian_plateau,mongolian_peoples_republic,1924,1992
north_africa,roman_republic,-509,-27
north_africa,roman_empire_pagan,-27,380
north_africa,roman_empire_christian,380,395
north_africa,western_roman_empire,395,476
north_africa,vandal_kingdom,429,533
north_africa,umayyad_caliphate,661,750
north_africa,fatimid_caliphate,909,1171
north_africa,ottoman_empire,1299,1922
nubia,old_kingdom_egypt,-2686,-2181
nubia,new_kingdom_egypt,-1550,-1070
nubia,meroitic_kingdom,-656,350
poland,kingdom_of_poland,966,1569
poland,polish_lithuanian_commonwealth,1569,1795
pontic_steppe,hunnic_empire,350,453
pontic_steppe,khazar_khaganate,650,969
pontic_steppe,golden_horde,1242,1502
pontic_steppe,crimean_khanate,1441,1783
prussia,teutonic_order,1230,1525
punjab,maurya_empire,-322,-185
punjab,ghaznavid_empire,977,1186
punjab,delhi_sultanate,1206,1526
punjab,mughal_empire,1526,1857
punjab,sikh_empire,1799,1849
punjab,british_raj,1858,1947
punjab,pakistan,1947,
scandinavia,kingdom_of_norway,793,1397
scandinavia,kingdom_of_denmark,793,1397
scandinavia,kingdom_of_sweden,970,1397
scandinavia,kalmar_union,1397,1523
scandinavia,kingdom_of_denmark,1523,1814
scandinavia,kingdom_of_sweden,1523,
scandinavia,kingdom_of_norway,1905,
scandinavia,kingdom_of_denmark,1814,
scotland,kingdom_of_scotland,843,1707
scotland,kingdom_of_great_britain,1707,1801
scotland,united_kingdom,1801,
transoxiana,achaemenid_empire,-550,-330
transoxiana,macedonian_empire,-336,-323
transoxiana,goktürk_khaganate,552,744
transoxiana,umayyad_caliphate,661,750
transoxiana,samanid_empire,819,999
transoxiana,ghaznavid_empire,977,1186
transoxiana,seljuk_empire,1037,1194
transoxiana,khwarazmian_empire,1200,1220
transoxiana,mongol_empire,1206,1368
transoxiana,chagatai_khanate,1226,1347
transoxiana,timurid_empire,1370,1507
yangtze,zhou_dynasty,-1046,-256
yangtze,qin_dynasty,-221,-206
yangtze,han_dynasty,-206,220
yangtze,sui_dynasty,581,618
yangtze,tang_dynasty,618,907
yangtze,song_dynasty,960,1279
yangtze,mongol_empire,1206,1368
yangtze,yuan_dynasty,1271,1368
yangtze,ming_dynasty,1368,1644
yangtze,qing_dynasty,1644,1912
yangtze,republic_of_china,1912,
yangtze,peoples_republic_of_china,1949,
yellow_river,shang_dynasty,-1600,-1046
yellow_river,zhou_dynasty,-1046,-256
yellow_river,qin_dynasty,-221,-206
yellow_river,han_dynasty,-206,220
yellow_river,sui_dynasty,581,618
yellow_river,tang_dynasty,618,907
yellow_river,liao_dynasty,907,1125
yellow_river,song_dynasty,960,1279
yellow_river,jin_dynasty_jurchen,1115,1234
yellow_river,mongol_empire,1206,1368
yellow_river,yuan_dynasty,1271,1368
yellow_river,ming_dynasty,1368,1644
yellow_river,qing_dynasty,1644,1912
yellow_river,republic_of_china,1912,
yellow_river,peoples_republic_of_china,1949,
