territory_id,regime_id,start,end
anatolia,hittite_empire,-1600,-1180
anatolia,neo_assyrian_empire,-911,-609
anatolia,achaemenid_empire,-550,-330
anatolia,macedonian_empire,-336,-323
anatolia,seleucid_empire,-312,-63
anatolia,roman_empire_pagan,-27,380
anatolia,roman_empire_christian,380,395
anatolia,byzantine_empire,395,1453
anatolia,seljuk_rum,1077,1307
anatolia,ottoman_empire,1299,1922
anatolia,republic_of_turkey,1923,
aquitaine,angevin_empire,1154,1204
arabia,nabataean_kingdom,-115,106
arabia,rashidun_caliphate,632,661
arabia,saudi_arabia,1932,
balkans,roman_republic,-509,-27
balkans,roman_empire_pagan,-27,380
balkans,roman_empire_christian,380,395
balkans,western_roman_empire,395,476
balkans,byzantine_empire,395,1453
balkans,first_bulgarian_empire,681,1018
balkans,serbian_empire,1190,1389
balkans,ottoman_empire,1299,1922
bohemia,kingdom_of_bohemia,895,1526
bohemia,holy_roman_empire,962,1806
bohemia,habsburg_monarchy,1438,1918
bohemia,czechoslovakia,1918,1993
britannia,kingdom_of_england,927,1707
britannia,kingdom_of_great_britain,1707,1801
britannia,united_kingdom,1801,
caucasus,kingdom_of_urartu,-860,-590
caucasus,median_kingdom,-678,-550
caucasus,kingdom_of_armenia,-190,428
caucasus,sassanid_empire,224,651
caucasus,khazar_khaganate,650,969
caucasus,bagratid_armenia,885,1064
caucasus,ilkhanate,1256,1335
caucasus,ottoman_empire,1299,1922
caucasus,safavid_empire,1501,1736
central_asian_steppe,xiongnu,-209,93
central_asian_steppe,hunnic_empire,350,453
central_asian_steppe,goktürk_khaganate,552,744
central_asian_steppe,avar_khaganate,568,804
central_asian_steppe,uyghur_khaganate,744,840
central_asian_steppe,mongol_empire,1206,1368
central_asian_steppe,chagatai_khanate,1226,1347
central_asian_steppe,golden_horde,1242,1502
central_asian_steppe,kazakh_khanate,1465,1731
deccan,maurya_empire,-322,-185
deccan,satavahana_empire,-230,220
deccan,vijayanagara_empire,1336,1646
deccan,bahmani_sultanate,1347,1527
deccan,mughal_empire,1526,1857
deccan,maratha_empire,1674,1818
deccan,british_raj,1858,1947
deccan,republic_of_india,1947,
egypt,old_kingdom_egypt,-2686,-2181
egypt,new_kingdom_egypt,-1550,-1070
egypt,neo_assyrian_empire,-911,-609
